title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
"Charlie Brown, Snoopy and me :and all the other Peanuts characters",01/01/1981,,W.H. Allen,,8743239,491026455,1,(Charles Monroe),,85957,,,
The man who was H.M. Bateman,01/01/1982,,Webb & Bower,,7440527,906671574,1,(Henry Mayo),,85958,,,
"English caricature :1620 to the present : caricaturists and satirists, their art, their purpose and influence.",01/01/1984,,Victoria and Albert Museum,,12686628,905209958,1,1620-1982,,85959,,,
Musical delights :a cavalcade of cartoon and caricature,01/01/1984,,Thames and Hudson,,8744140,500013438,1,1732-1983,,85960,,,
Masters of caricature :from Hogarth and Gillray to Scarfe and Levine,01/01/1981,,Weidenfeld and Nicolson,,8739964,297779044,1,1744-1980,,85961,,,
The ungentlemanly art :a history of American political cartoons,01/01/1975,,Macmillan,,10547249,,1,1747-1975,,85962,,,
"Boney, ou, Napoleon vu par les Anglais",01/01/1985,,Devon Library Services,,10116509,861145550,1,1782-1830,,85964,,,
A human comedy :physiognomy and caricature in 19th century Paris,01/01/1982,,Thames and Hudson,,8744080,500012687,1,1800-1900,,85965,,,
Victorian comics,01/01/1976,,Allen and Unwin,,10022120,47410027,1,1837-1901,,85967,,,
The fishing cartoon book,01/01/1977,,David and Charles,,8089283,071537396X,1,1837-1977,,85968,,,
"Great drawings and illustrations from Punch 1841-1901 :192 works by Leech, Keene, du Maurier, May and 21 others",01/01/1981,,Dover Publications,,8077610,486241106,1,1841-1901,,85969,,,
Humorous Victorian spot illustrations,01/01/1985,,Dover,,8077903,486248968,1,1841-1901,,85971,,,
Galloping through 'Punch',01/01/1976,,David and Charles,,8089153,715371983,1,1843-1975,,85973,,,
"'Punch' on children :a panorama, 1845-1865",01/01/1975,,Muller,,10704679,584102305,1,1845-1865,,85974,,,
The genius of Wilhelm Busch :comedy of frustration : an English anthology,01/01/1982,,University of California Press,,8748575,520038975,1,1856-1900,,85975,,,
Latin America in caricature,01/01/1980,,University of Texas Press,,8738391,292746261,1,1860-1970,,85977,,,
Beerbohm's literary caricatures :from Homer to Huxley,01/01/1977,,Allen Lane,,8082605,713910666,1,1872-1956,,85978,,,
Rossetti and his circle,01/01/1987,,Yale University Press,,9391134,300039867,1,1872-1956,,85979,,,
Cartoonist at war,01/01/1981,,Book Club Associates,,10554587,,1,1873-1960,,85980,,,
Happy days :a century of comics,01/01/1975,,Jupiter Books,,12679174,904041336,1,1874-1974,,85981,,,
The art of the comic strip,01/01/1979,,Macmillan,,9382296,002736500X,1,1890-1977,,85983,,,
Rupert :a bear's life,01/01/1985,,Pavilion,,7446207,907516769,1,1892-,,85985,,,
The cartoon connection :the art of pictorial humour,01/01/1977,,Elm Tree Books,,8045567,241894832,1,1900-1976,,85986,,,
Donald Duck,01/01/1980,,New English Library,,7388258,450046397,1,1901-1966,,85987,,,
Walt Disney's Donald Duck :50 years of happy frustration,01/01/1985,,Ebury,,8792650,852234481,1,1901-1966,,85988,,,
"Walt Disney's Mickey Mouse memorabilia :the vintage years, 1928-1938",01/01/1986,,Octopus,,12630274,810914395,1,1901-1966,,85989,,,
The comic art of Reg Parlett :60 years of comics!,01/01/1986,,Golden Fun,,8820349,951121405,1,1904-,,85990,,,
Rowland Emett :from 'Punch' to 'Chitty chitty bang bang' and beyond.,01/01/1988,,Beetles,,11816786,,1,1906-,,85991,,,
22 comic artists :an exhibition,01/01/1975,,The Library,,12025163,901276073,1,1910-1970,,85992,,,
1001 spot illustrations of the lively twenties,01/01/1986,,Dover,,8077927,486250210,1,1920-1930,,85994,,,
Heckling Hitler :caricatures of the Third Reich,01/01/1984,,Orbis,,9459405,856134368,1,1920-1945,,85996,,,
Communist cartoons :cartoons from The communist 1921-22,01/01/1982,,James Klugman Pictorials,,8130347,946114005,1,1921-1922,,85997,,,
"The 'New Yorker' album of drawings, 1925-1975.",01/01/1976,,Deutsch,,7370811,233968105,1,1925-1975,,85999,,,
Caricatures and watercolours.,01/01/1987,,Ashmolean Museum,,7449161,907849830,1,1926-,,86001,,,
Tiger Tim's own comic collection,01/01/1977,,H. Baker,,11983491,703001299,1,1931-1939,,86002,,,
Cog in the war machine,01/01/1985,,Starfish,,7434582,090584730X,1,1939-1945,,86003,,,
"Beaverbrook's England 1940-1965 :an exhibition of cartoon originals by Michael Cummings, David Low, Vicky and Sidney 'George' Strube",01/01/1981,,"[Centre for the Study of Cartoons and Caricature, University of Kent at Canterbury]",,10553842,,1,1940-1965,,86004,,,
I Leonardo,01/01/1983,,Cape,,7362471,224019163,1,1945-,,86005,,,
The big I am,01/01/1988,,Cape,,7362917,022402471X,1,1945-,,86007,,,
Jodhpurs in the Quantocks,01/01/1986,,Cape,,7363208,224028723,1,1945-,,86009,,,
Between the eyes,01/01/1984,,Cape,,7363276,224022806,1,1945-,,86011,,,
The Shell book of motoring humour,01/01/1976,,Joseph,,8096999,718115201,1,1945-,,86013,,,
Sapphowoman and the Greater Belfast dykes.,01/01/1989,,Meadbh,,8155867,1872139019,1,1945-,,86015,,,
The dragon book,01/01/1975,,Studio Vista,,8737787,289705029,1,1945-,,86016,,,
Chewing the cud,01/01/1990,,Farming Press,,8793723,852362110,1,1945-,,86019,,,
Peanuts jubilee :my life and art with Charlie Brown and others,01/01/1980,,Penguin,,11305002,140042814,1,1945-,,86021,,,
Sigmund Freud,01/01/1982,,Penguin,,11305851,140056238,1,1945-,,86022,,,
A special relationship,01/01/1987,,Faber,,10069928,571149928,1,1945-1985,,86028,,,
'We are amused' :the cartoonist's view of royalty,01/01/1978,,Bodley Head,,11328045,370301390,1,1952-1977,,86031,,,
Graphic rap.,01/01/1982,,Institute of Contemporary Arts,,12687051,950751723,1,1960-1982,,86032,,,
The Dudley Watkins exhibition :an exhibition arranged by Dundee Museums and Art Galleries with the kind assistance of D.C. Thomson & Co. Ltd.,01/01/1979,,[D.C. Thomson],,10994467,,1,1969,,86033,,,
"Need, not profit",01/01/1978,,'Militant',,8813628,950491543,1,1972-1978,,86034,,,
Dry humour :how cartoonists saw the drought of '76.,01/01/1976,,National Water Council,,12681933,904561194,1,1976,,86035,,,
Rok odnowy :karykatury i rysunki z prazy zachodniej,01/01/1981,,Polonia Book Fund,,11172815,,1,1980-1981,,86036,,,
Thrill-power overload :the official history of 2000AD : the galaxy's greatest comic,01/01/2007,,Rebellion,,13568235,9.78E+12,1,2000 AD / History.,,86037,,,
Thrill-power overload :2000 AD - the first thirty years,01/01/2009,,Rebellion,,14800605,9.78E+12,1,2000 AD. (Comic strip) / History.,,86038,,,
ABC Warriors.,01/01/2011,,Rebellion,,15956453,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc.",,86039,,,
The third element,01/01/2008,,Rebellion,,14675187,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86040,,,
The Volgan war.,01/01/2011,,2000 AD,,15776823,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86042,,,
The volgan war.,01/01/2011,,2000 AD,,15800080,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86043,,,
The volgan war :volume 3,01/01/2014,,,,16295135,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86045,,,
Return to Earth,01/01/2014,,,,16300187,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86046,,,
The solo missions,01/01/2014,,,,16559639,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86047,,,
The mek files.,01/01/2014,,,,16644601,9.78E+12,1,"ABC Warriors (Fictitious characters) / Comic books, strips, etc. / Fiction.",,86048,,,
The secret,01/01/2002,,Faber,,10072103,571206883,1,Abduction / Pictorial works / Fiction.,,86049,,,
Face facts,01/01/1986,,Cygnus,,8808740,948811005,1,"Abou Hamad, Nabil",,86052,,,
The tale of one bad rat,01/01/2008,,Jonathan Cape,,14606770,9.78E+12,1,"Abused children / Comic books, strips, etc. / Fiction.",,86054,,,
The horror of the heights,01/01/2000,,A. & C. Black,,8080631,713652543,1,"Acrophobia / Comic books, strips, etc. / Juvenile fiction.",,86055,,,
Beyblade.,01/01/2003,,Toontastic,,7894960,,1,"Action figures (Toys) / Comic books, strips, etc. / Periodicals.",,86057,,,
Beyblade special.,01/01/2003,,Toontastic,,7896748,,1,"Action figures (Toys) / Comic books, strips, etc. / Periodicals.",,86058,,,
It's not will-power I need - it's won't power!.,01/01/1983,,Exley,,7432907,090552196X,1,American humorous cartoons,,86298,,,
Beyblade grevolution.,01/01/2005,,Toontastic,,14664497,,1,"Action figures (Toys) / Comic books, strips, etc. / Periodicals.",,86059,,,
Extreme sports adventures,01/01/2001,,Dorling Kindersley,,10728340,751320617,1,Action figures (Toys) / Pictorial works / Juvenile fiction.,,86060,,,
Drawing action in your graphic novel,01/01/2014,,,,16045010,9.78E+12,1,Action in art / Juvenile literature.,,86061,,,
Laugh lines :caricatures,01/01/1989,,Hodder & Stoughton,,10692485,340496010,1,Actors & actresses,,86062,,,
Paradise is lost,01/01/2001,,Spearhead,,10355620,086486485X,1,Adam / (Biblical figure) / Caricatures and cartoons.,,86064,,,
DC universe,01/01/2008,,Titan,,14702766,9.78E+12,1,"Adams, Neal / 1941-",,86065,,,
DC universe.,01/01/2009,,Titan,,15337681,9.78E+12,1,"Adams, Neal / 1941-",,86066,,,
The multi-media melting pot :marketing When the wind blows,01/01/1986,,Comedia,,7442012,906890934,1,Adaptations,,86067,,,
Bizarro,01/01/1989,,Grub Street,,8808761,948817305,1,American humorous cartoons,,86357,,,
How to draw digital manga and anime,01/01/2012,,Southwater,,16020374,9.78E+12,1,Adobe Photoshop.,,86068,,,
Sunny side down :a collection of tales of mere existence,01/01/2009,,Simon & Schuster,,14926818,9.78E+12,1,"Adolescence / Comic books, strips, etc.",,86069,,,
The heir ;The Group W,01/01/2008,,Cinebook,,14464717,9.78E+12,1,"Adopted children / Comic books, strips, etc. / Fiction.",,86070,,,
Latitude 59 degrees north,01/01/2010,,Cinebook,,15415818,9.78E+12,1,Adopted children / Fiction.,,86071,,,
Game of fools,01/01/2011,,Cinebook,,15805014,9.78E+12,1,Adopted children / Fiction.,,86072,,,
Booby trap.,01/01/2003,,Bone House Books,,12903615,,1,"Adulthood / Comic books, strips, etc.",,86073,,,
Top ten,01/01/2000,,Titan,,6940907,1840231963,1,Graphic novels.,,97338,,,
The Cinderella principle,01/01/2000,,A. & C. Black,,7042031,713649976,1,"Adventure and adventurers / Comic books, strips, etc.",,86074,,,
Winners and losers,01/01/2000,,A. & C. Black,,7042054,713650966,1,"Adventure and adventurers / Comic books, strips, etc.",,86075,,,
Luminous animals and other drawings,01/01/1983,,Penguin,,11306428,140068619,1,American humorous cartoons,,86409,,,
The haunted surfboard,01/01/2000,,A. & C. Black,,7042055,713650982,1,"Adventure and adventurers / Comic books, strips, etc.",,86076,,,
Guard dog,01/01/2000,,A. & C. Black,,7042061,713651148,1,"Adventure and adventurers / Comic books, strips, etc.",,86077,,,
Maximum Ride,01/01/2009,,Arrow Books,,14787862,9.78E+12,1,"Adventure and adventurers / Comic books, strips, etc.",,86079,,,
The Castafiore emerald.,01/01/1989,,Mammoth,,10715353,749701692,1,Adventure and adventurers / Fiction.,,86080,,,
Beyond the shadows,01/01/2008,,Cinebook,,14200604,9.78E+12,1,Adventure and adventurers / Fiction.,,86081,,,
Kidnapped,01/01/2007,,Book House,,13770040,9.78E+12,1,Adventure fiction.,,86082,,,
The idol of the Gauls,01/01/1990,,Hodder and Stoughton,,8419836,340514221,1,Adventure games,,86083,,,
The adventures of Billy R Kid,01/01/2010,,Bluecoat Press,,15714127,9.78E+12,1,"Adventure stories / Comic books, strips, etc.",,86085,,,
The space lobes,01/01/2011,,Jonnie Rocket,,15792081,9.78E+12,1,"Adventure stories / Comic books, strips, etc.",,86086,,,
The ride of terror,01/01/2011,,Jonnie Rocket Ltd.,,16007714,9.78E+12,1,"Adventure stories / Comic books, strips, etc.",,86087,,,
Annual ... Indiana Jones and the ...,01/01/2014,,Pedigree Books,,15264856,,1,"Adventure stories, American / Periodicals.",,86088,,,
Indiana Jones adventures.,01/01/2008,,Titan,,14627429,9.78E+12,1,"Adventure stories, American.",,86089,,,
G.I. Joe. :the rise of Cobra : official movie prequel,01/01/2009,,Panini,,15181868,9.78E+12,1,"Adventure stories, American.",,86090,,,
Adventures at sea,01/01/2014,,,,16143778,9.78E+12,1,"Adventure stories, American.",,86091,,,
Tarzan :in the city of gold.,01/01/2014,,,,16644607,9.78E+12,1,"Adventure stories, American.",,86092,,,
The best of Wallace & Gromit.,01/01/2009,,Titan,,14864661,9.78E+12,1,"Adventure stories, English.",,86093,,,
Robin Hood :the complete adventures,01/01/2008,,Book Palace Books,,15266762,9.78E+12,1,"Adventure stories, English.",,86094,,,
Best of Land Battle,01/01/2010,,Titan,,15495084,9.78E+12,1,"Adventure stories, English.",,86095,,,
The Ankh of Isis trilogy,01/01/2014,,,,16483123,9.78E+12,1,"Adventure stories, French / Translations into English.",,86096,,,
Ballad of the salt sea,01/01/1996,,Harvill,,7466950,1860462707,1,Adventure stories.,,86097,,,
The Celts,01/01/1996,,Harvill,,7466951,1860462715,1,Adventure stories.,,86098,,,
Jonny Quest :the real adventures,01/01/1997,,Titan,,7725862,1852868023,1,Adventure stories.,,86099,,,
Treasure planet :comic adventure.,01/01/2003,,BBC Worldwide,,9919975,,1,Adventure stories.,,86100,,,
Tarzan of the apes,01/01/1973,,Hamlyn,,9940555,600386899,1,Adventure stories.,,86101,,,
The chase,01/01/2005,,AP Comics,,13186088,1905071124,1,Adventure stories.,,86102,,,
Robert Louis Stevenson's Kidnapped,01/01/2007,,Waverley Books,,13563522,9.78E+12,1,Adventure stories.,,86103,,,
Robert Louis Stevenson's Kidnappit,01/01/2007,,Itchy Coo,,13624865,184502138X,1,Adventure stories.,,86105,,,
Journey to the centre of the earth,01/01/2007,,Book House,,13731350,9.78E+12,1,Adventure stories.,,86106,,,
Fo bhruid,01/01/2007,,Waverley,,13752250,9.78E+12,1,Adventure stories.,,86108,,,
Papyrus :the Rameses' revenge,01/01/2007,,Cinebook,,13811699,9.78E+12,1,Adventure stories.,,86110,,,
Indiana Jones and the kingdom of the crystal skull,01/01/2008,,Titan,,14531411,9.78E+12,1,Adventure stories.,,86111,,,
Captured by pirates,01/01/2009,,Lerner,,14647606,9.78E+12,1,Adventure stories.,,86112,,,
Escape from Pyramid X,01/01/2009,,Lerner,,14647607,9.78E+12,1,Adventure stories.,,86113,,,
Rapunzel's revenge,01/01/2008,,Bloomsbury,,14662257,9.78E+12,1,Adventure stories.,,86114,,,
The adventures of Huckleberry Finn,01/01/2008,,Book House,,14675260,9.78E+12,1,Adventure stories.,,86115,,,
Indiana Jones and the tomb of the gods,01/01/2009,,Titan],,14822067,9.78E+12,1,Adventure stories.,,86116,,,
Tutankhamun :the assassinated pharaoh,01/01/2009,,Cinebook,,14878240,9.78E+12,1,Adventure stories.,,86117,,,
Night of the serpent,01/01/2009,,Cinebook,,14878241,9.78E+12,1,Adventure stories.,,86118,,,
Agent Mongoose and the hypno-beam scheme,01/01/2009,,Lerner,,15116962,9.78E+12,1,Adventure stories.,,86119,,,
The rainbow orchid :volume one,01/01/2009,,Egmont,,15261452,9.78E+12,1,Adventure stories.,,86120,,,
Calamity Jack,01/01/2010,,Bloomsbury,,15376070,9.78E+12,1,Adventure stories.,,86121,,,
Rescue in Antarctica :an Isabel Soto geography adventure,01/01/2010,,Raintree,,15433362,9.78E+12,1,Adventure stories.,,86122,,,
The rainbow orchid.,01/01/2010,,Egmont,,15453426,9.78E+12,1,Adventure stories.,,86123,,,
The diamond egg of wonders,01/01/2010,,David Fickling,,15562041,9.78E+12,1,Adventure stories.,,86124,,,
Long John Silver,01/01/2010,,Cinebook,,15595507,9.78E+12,1,Adventure stories.,,86125,,,
The rainbow orchid :volume 3,01/01/2012,,Egmont,,15685277,9.78E+12,1,Adventure stories.,,86126,,,
A Roman rescue,01/01/2011,,Templar,,15685858,9.78E+12,1,Adventure stories.,,86127,,,
Journey to the centre of the earth.,01/01/2011,,Raintree,,15753129,9.78E+12,1,Adventure stories.,,86128,,,
An Egyptian escape,01/01/2012,,Templar,,15947807,9.78E+12,1,Adventure stories.,,86129,,,
The lost world,01/01/2012,,Orion,,16015160,9.78E+12,1,Adventure stories.,,86130,,,
King Solomon's mines,01/01/2012,,Orion,,16015162,9.78E+12,1,Adventure stories.,,86131,,,
The complete Rainbow Orchid,01/01/2012,,Egmont,,16099079,9.78E+12,1,Adventure stories.,,86132,,,
Assassin's creed.,01/01/2012,,Titan,,16103521,9.78E+12,1,Adventure stories.,,86133,,,
Shako,01/01/2012,,Rebellion,,16111961,9.78E+12,1,Adventure stories.,,86134,,,
The mission,01/01/2013,,Cinebook,,16252721,9.78E+12,1,Adventure stories.,,86137,,,
Adventure time with Fionna & Cake,01/01/2014,,,,16483171,9.78E+12,1,Adventure stories.,,86139,,,
Hawk,01/01/2014,,,,16495589,9.78E+12,1,Adventure stories.,,86140,,,
Wayne Shelton.,01/01/2014,,,,16521754,9.78E+12,1,Adventure stories.,,86141,,,
The gentle art of advertising,01/01/1979,,Duckworth,,8091539,071561651X,1,Advertisements,,86142,,,
Adverts from hell,01/01/2003,,Welcome Publishing,,8979259,1903793068,1,Advertising / Humor.,,86143,,,
The crazy world of aerobics,01/01/1993,,Exley,,11392499,1850153248,1,Aerobic exercises / Humor.,,86144,,,
The ant or the grasshopper?,01/01/2004,,Scribner,,6960528,743222474,1,Aesop's fables / Adaptations.,,86145,,,
Dougie's war :a graphic novel about one soldier's return from Afghanistan,01/01/2010,,Freight,,15684133,9.78E+12,1,"Afghan War, 2001- / Comic books, strips, etc.",,86146,,,
Dougie's war,01/01/2010,,Freight,,15505566,9.78E+12,1,"Afghan War, 2001- / Comic books, strips, etc. / Fiction.",,86147,,,
The kite runner :the graphic novel,01/01/2011,,Bloomsbury,,15794775,9.78E+12,1,"Afghanistan / Social conditions / 20th century / Comic books, strips, etc. / Fiction.",,86150,,,
Africaman.,01/01/1993,,Baobab,,7234071,,1,Africa,,86151,,,
Heart of darkness,01/01/2010,,SelfMadeHero,,15523313,9.78E+12,1,"Africa / Discovery and exploration / Comic books, strips, etc. / Fiction.",,86152,,,
Tayo thro' the years :editorial cartoons,01/01/2000,,Folta,,10124664,953935701,1,Africa / Politics and government / 1960- / Caricatures and cartoons.,,86154,,,
Incognegro,01/01/2008,,Titan,,14627539,9.78E+12,1,"African American journalists / Southern States / Comic books, strips etc. / Fiction.",,86155,,,
"Black superheroes, Milestone comics, and their fans",01/01/2001,,University Press of Mississippi,,10756433,1578062810,1,"African Americans / Comic books, strips, etc.",,86157,,,
A hero's welcome,01/01/2009,,Titan,,15337700,9.78E+12,1,"African Americans / Comic books, strips, etc. / Fiction.",,86158,,,
DSBC magazine.,01/01/2008,,DSBC],,13750033,,1,"Africans / Great Britain / Social life and customs / Comic books, strips, etc.",,86159,,,
Wrinklies rule OK,01/01/2005,,Powerfresh,,13195604,1904967108,1,Aged / Humor.,,86161,,,
The Odd Squad's saggy bits,01/01/2004,,Ravette,,12946599,1841612189,1,Aging / Caricatures and cartoons.,,86162,,,
"Older, wiser- sexier",01/01/2010,,Summersdale,,15427661,9.78E+12,1,Aging / Caricatures and cartoons.,,86163,,,
"Lets not age, lets just marinate",01/01/2012,,Summersdale,,15952432,9.78E+12,1,Aging / Caricatures and cartoons.,,86165,,,
"Old enough to know better, young enough not to care",01/01/2014,,,,16609493,9.78E+12,1,Aging / Caricatures and cartoons.,,86166,,,
Last round-up,01/01/2003,,Old Pond,,6943339,9.78E+12,1,Agriculture / Caricatures and cartoons.,,86167,,,
Farming :the lighter side,01/01/2003,,Hudson History,,9502251,1903783178,1,Agriculture / Great Britain / Caricatures and cartoons.,,86168,,,
Better living through air guitar,01/01/2005,,Sanctuary,,13246072,1860746535,1,Air guitar / Caricatures and cartoons.,,86169,,,
Spitfire parade,01/01/2008,,Cinebook,,14686514,9.78E+12,1,"Air pilots / Comic books, strips, etc. / Juvenile fiction.",,86171,,,
The secrets of the Black Sea,01/01/2010,,Cinebook,,15403207,9.78E+12,1,"Air pilots / Comic books, strips, etc. / Juvenile fiction.",,86172,,,
Ghost squadron,01/01/2012,,Cinebook,,16107773,9.78E+12,1,"Air pilots / Comic books, strips, etc. / Juvenile fiction.",,86173,,,
Biggles flying detective :based on the novel Sergeant Bigglesworth CID by Captain W.E. Johns,01/01/1996,,Red Fox,,10663589,99520710,1,"Air pilots / Great Britain / Comic books, strips, etc.",,86174,,,
Punch in the air :a cartoon history of flying,01/01/1983,,Robson,,10108738,860512517,1,Air travel,,86175,,,
The victim's guide to _ air travel,01/01/1994,,Exley,,11392536,1850154309,1,"Air travel / Comic books, strips, etc.",,86177,,,
Flight 714,01/01/2002,,,,10130920,1405206330,1,"Air travel / Comic books, strips, etc. / Juvenile fiction.",,86178,,,
The odyssey of flight 33,01/01/2009,,Bloomsbury,,14788404,9.78E+12,1,"Airplanes / Comic books, strips, etc. / Fiction.",,86180,,,
Aladdin and the magic lamp,01/01/2013,,Raintree,,16225359,9.78E+12,1,"Aladdin (Legendary character) / Comic books, strips, etc. / Juvenile fiction.",,86181,,,
Disney's how to draw Aladdin,01/01/1999,,Titan,,10761555,1840230428,1,Aladdin.,,86182,,,
The Odd Squad little book of booze,01/01/2002,,Ravette,,10768407,1841611387,1,Alcoholic beverages / Caricatures and cartoons.,,86183,,,
Liquor licence :Punch on booze,01/01/1986,,Punch Book in association with Grafton,,8048377,246130598,1,Alcoholic drinks,,86184,,,
Ale & Arty.,01/01/1984,,Campaign for Real Ale,,11811035,,1,Alcoholic drinks,,86185,,,
The alcoholic,01/01/2009,,Titan,,15357747,9.78E+12,1,"Alcoholics / Comic books, strips, etc.",,86186,,,
The Alex technique :on jobs in the city,01/01/1999,,Headline,,12310979,747274614,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86188,,,
The best of Alex 2007,01/01/2007,,Prion,,13795961,9.78E+12,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86189,,,
Monster rally,01/01/1977,,W.H. Allen,,8743130,491024215,1,American humorous cartoons,,86352,,,
The best of Alex 2008,01/01/2008,,Prion,,14662941,9.78E+12,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86190,,,
The best of Alex 2010,01/01/2010,,Prion,,15551615,9.78E+12,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86191,,,
The best of Alex 2012,01/01/2012,,Prion,,16103641,9.78E+12,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86192,,,
The best of Alex 2013,01/01/2014,,,,16449586,9.78E+12,1,"Alex (Fictitious character) / Comic books, strips, etc.",,86193,,,
Ali Baba :fooling the forty thieves,01/01/2010,,Lerner,,15468510,9.78E+12,1,"Ali Baba (Legendary character) / Comic books, strips, etc. / Juvenile fiction.",,86194,,,
Ali Baba and the forty thieves,01/01/2013,,Raintree,,16225360,9.78E+12,1,"Ali Baba (Legendary character) / Comic books, strips, etc. / Juvenile fiction.",,86195,,,
Superman vs Muhammad Ali,01/01/2011,,Titan,,15659663,9.78E+12,1,"Ali, Muhammad / 1942- / Comic books, strips, etc. / Fiction.",,86196,,,
Lewis Carroll's Alice in Wonderland,01/01/2010,,Raintree,,15448487,9.78E+12,1,"Alice (Fictitious character : Carroll) / Comic books, strips, etc. / Juvenile fiction.",,86198,,,
Alien :the illustrated story,01/01/2012,,Titan Books,,16031295,9.78E+12,1,"Alien (Motion picture) / Comic books, strips, etc.",,86199,,,
Aliens :outbreak,01/01/1996,,Titan Books,,12029336,1852867566,1,Aliens (Motion picture) / Pictorial works / Fiction.,,86201,,,
Aliens ate my trousers :crazy comics from the pages of 'Fortean Times',01/01/1998,,Knockabout Comics,,10120011,086166132X,1,Aliens / Caricatures and cartoons.,,86202,,,
Back on the street,01/01/2000,,Titan,,12286272,1840232587,1,"Aliens / Comic books, strips, etc / Fiction.",,86203,,,
Stronghold,01/01/1997,,Titan,,12029381,1852868759,1,"Aliens / Comic books, strips, etc.",,86204,,,
Transmetropolitan.,01/01/2009,,DC Comics,,14927005,9.78E+12,1,"Aliens / Comic books, strips, etc. / Fiction.",,86205,,,
Lust for life.,01/01/2009,,Titan,,15104666,9.78E+12,1,"Aliens / Comic books, strips, etc. / Fiction.",,86207,,,
The mountain bike way of knowledge,01/01/1990,,Cordee,,12015258,897320972,1,All terrain cycling / Caricatures and cartoons.,,86208,,,
Ministry of space,01/01/2004,,Titan,,12976581,1840234075,1,Alternative histories (Fiction),,86209,,,
"Sculpting a middle class :history, masculinity and the Amar Chitra Katha",01/01/2009,,Routledge,,15356836,9.78E+12,1,Amar chitra katha.,,86211,,,
Lost in the Amazon :with Nick Raven...and his back up team from SATAN,01/01/1979,,Macdonald Educational,,11324002,356065413,1,Amazon River Basin,,86212,,,
Here's to Suzie!,01/01/2008,,Cinebook,,14686515,9.78E+12,1,"Ambassadors / Europe / Comic books, strips, etc. / Fiction.",,86216,,,
The princess and the frog ;Pocahontas.,01/01/2009,,Panini,,15474179,9.78E+12,1,"America / Discovery and exploration / Comic books, strips, etc. / Juvenile fiction.",,86217,,,
Captain America reborn,01/01/2010,,Panini,,15376443,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86218,,,
The definitive Captain America,01/01/2011,,Panini,,15711256,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86219,,,
Captain America :man out of time,01/01/2011,,Panini,,15711258,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86220,,,
Hail Hydra,01/01/2011,,Panini,,15762887,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86221,,,
Ultimate Captain America,01/01/2011,,Panini,,15762888,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86222,,,
American dreamers,01/01/2012,,Panini,,15899958,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86223,,,
Castaway in Dimension Z,01/01/2014,,,,16206053,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86224,,,
Captain America.,01/01/2014,,,,16473375,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86225,,,
Living legend,01/01/2014,,,,16559741,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86226,,,
Winter soldier dossier edition,01/01/2014,,,,16585690,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86227,,,
The definitive Captain American reloaded.,01/01/2014,,,,16585691,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86228,,,
Loose nuke,01/01/2014,,,,16589862,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Fiction.",,86229,,,
Blood on the moors,01/01/2011,,Panini,,15716812,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,86230,,,
Captain America :the first avenger.,01/01/2011,,Panini,,15881142,,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,86231,,,
The coming of the falcon,01/01/2014,,,,16604079,9.78E+12,1,"America, Captain (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,86232,,,
Thomas Nast :cartoons and illustrations,01/01/1974,,Dover Publications,,9037808,486229831,1,American cartoons,,86235,,,
The broken spoke,01/01/1979,,Benn,,8747233,510000487,1,American humorous cartoons,,86353,,,
The inspector,01/01/1976,,Penguin,,11305005,140042857,1,American cartoons,,86239,,,
